CONTROL,KAMG_fl,Blue,Green,Red,RE1,RE2,RE3,NIR,RE4,SWIR1,SWIR2,NDVI,VH,VV,C,predicted
7:276:16,400,0.08674815918332986,0.0725612875534401,0.05077755875611282,0.0776981460990581,0.15489886223781674,0.1824937675047653,0.17547764779875094,0.19905981555868824,0.10748818488995303,0.05090450780877052,0.5500355597569165,-14.4063365640263,-9.682392770528853,96.14637214774639,113.6112011846149
7:79:12,400,0.08493290167712567,0.06732519713494078,0.04367113877552509,0.06619679136902445,0.160699806183215,0.19559512841684867,0.1889892941425953,0.21606541507131954,0.10474238624965987,0.04587645606751111,0.623374499886083,-14.971167627872475,-10.324255428518363,103.83889794675811,116.2662814821766
7:85:2,400,0.08503052635941892,0.06819781561577053,0.046732221827741345,0.06903499160370839,0.15332252713398245,0.18415208695533675,0.17688356426682703,0.20334778809840798,0.10699528275363498,0.04848161563980575,0.5817597319636513,-15.15667415260102,-10.652643478496987,104.1789434675831,111.50606440635222
1:117:15,400,0.08302463256947248,0.06689383377522111,0.04278041412960157,0.0683527133132444,0.17598028146317546,0.21946287104452916,0.2116599927087517,0.24457325510650973,0.11544369469308892,0.04809082980901259,0.6627780906491129,-14.280372729471472,-9.598605820517939,105.61753279182736,114.34500142776079
1:67:5,400,0.08778779324714145,0.07053783341527221,0.04866395513359512,0.07098924946689746,0.15118689210495392,0.17792859224098212,0.17099490614817084,0.19816615110414018,0.11573071417563871,0.055097254050141965,0.555169704908583,-15.53413338843812,-10.735316441386171,101.62664224213465,111.442885187919
2:54:22,400,0.08919550956568785,0.07121537705170325,0.048867418433420545,0.07267789298493965,0.1628378435544047,0.19756658351488213,0.18806596920769247,0.21894573156688504,0.1197032169108448,0.05413433302694534,0.5850273517972495,-14.827622971016531,-10.059423426436402,108.1651087960309,117.67791621816318
3:225:3,400,0.08528448180328604,0.06694971453707192,0.041489477874894945,0.06505403857981022,0.1682982677234628,0.20848487435446328,0.19882804815415117,0.23059291265977444,0.10796773196211523,0.04451077500095074,0.653057432282847,-14.768532030055937,-10.141842692846048,109.52296331680286,123.06539147231233
3:242:6,400,0.0864968516520394,0.06907038869607736,0.04521651941433978,0.0688051903270446,0.1750041451943749,0.21463708998952474,0.20802315053886172,0.237313001946355,0.11327734932274731,0.04668892217490092,0.6411793735723685,-15.041703338180291,-10.281152734652974,104.30151181825345,118.02130214089063
3:345:3,400,0.0852703850087118,0.06758105213515826,0.043731080001200594,0.06573050640501157,0.15847038235487515,0.19197969679986596,0.1844039207650139,0.21120842968591205,0.09737310397128267,0.04229744399559472,0.614552505998414,-14.407494441359692,-9.964770691580783,105.35114963260625,119.8287726113393
3:295:3,400,0.09137840642970792,0.07634632945000407,0.05303343119243552,0.07569569929107638,0.16206786379252344,0.19368442606434025,0.18451206841346734,0.2112925927827219,0.11237744438074442,0.05529122488286043,0.5521337078168702,-15.608597731146668,-11.092645104266088,107.47239957187544,106.33530215855478
4:77:8,400,0.0871391346737021,0.07064060829974844,0.048111112958396055,0.06995047573208778,0.15940801046811592,0.19166621917386376,0.18557191202170603,0.21022999717044286,0.10387896271807369,0.0478696755663974,0.5880516707012076,-14.88451466929799,-10.365151287215175,100.75971244623298,116.93968509920296
