ID,TrSP,A,GS,RS,D,H,SI,Stem,Branches,Foliage,Tree_roots,GFF,Understory,Snags,Logs,Coarse_branches,Fine_litter
5:112:20,PISY,80,110,0.5,24,15,1,22.0666257193416,1.42066510081741,0.581020230104019,5.67706334504041,0.693042253802288,2.19445013886611,4.08539629623948,0.95375035161971,0.0949236301993277,4.08890368891843
2:310:6,PISY,45,260,0.9,18,16,2,53.5281919790357,4.05785834394466,2.57724262834321,15.4945003333485,0.141071982205987,0.500174473923684,3.17166081418685,0.71958952421055,1.59759383575661,11.1894374975128
2:319:1,PISY,75,250,0.75,24,19,2,51.1102044734538,3.09094113451832,1.58276422779204,13.6696238564555,0.275933325169307,1.44997629538754,4.09391720769724,0.960829806471471,0.47259258412581,8.43143688950925
2:291:24,PISY,44,250,0.85,18,16,1,51.101486049581,3.98523606379891,2.30664432626017,13.586025547565,0.157532216935252,0.574494426563491,3.09979147435181,0.7382117851365,1.5833017536690699,8.74577761749558
3:315:13,PISY,56,170,0.9,14,12,1,35.0433918615786,2.2093965390955,1.13900648627803,8.7865910190688,0.152975549556274,0.860040332967747,2.61380776901899,0.537827897267361,1.08238100082848,8.78499875405161
2:243:11,PISY,75,340,0.8,32,24,2,69.5968459959704,4.11283695091676,2.08865519501057,18.4930306142326,0.236144469144511,1.37844687733183,5.59460026013893,1.20695426979412,0.475222556942583,8.29884855437594
1:148:15,PISY,55,300,0.75,24,20,2,61.9262762835956,4.32055354384231,2.62886156996352,17.3969961888202,0.242709587152858,0.860325398335173,3.95378804185592,1.00097453733258,1.43380872322173,9.47089110680261
6:99:35,PISY,80,330,0.6,36,25,1,66.460826814379,4.14986280344526,1.78425715816291,16.5595534972045,0.46365666076626,2.06341115755359,5.81786644385931,1.45954790791053,0.194930543974216,6.15533690064123
4:97:3,PISY,51,210,0.6,18,18,2,43.0959491775804,3.37018857861162,2.09442938076035,12.677917240594,0.393285219746236,0.851411129622458,2.48852254083998,0.947583168564336,1.08350416064674,7.76550587452643
5:21:17,PISY,25,100,0.7,14,10,1,19.2631699745152,3.03857925252736,2.06856945171043,6.19509233879451,0.185812904115584,0.198250946003691,2.67467352135247,0.520288550536108,0.691492630930216,6.53549110295038
2:355:1,PISY,25,110,0.65,16,11,3,21.353475389193,3.54766018710897,3.00099297101586,8.27481143544011,0.229817841232814,0.163345629044567,2.99207605809766,0.599611856937985,0.74243728784443,9.26299489234285
2:207:23,PISY,15,10,0.4,6,3,2,1.76502085151459,0.640389506869483,0.438064997382847,0.832166990392224,0.478990142879349,0.0622522409739427,1.30492965872682,0.207716370567958,0.0113901308792354,4.04971747601485
1:120:36,PISY,15,70,0.7,8,8,1,12.4444721773025,4.06506108224179,2.91613843947395,4.82711488919293,0.137358999572867,0.0593207478540478,1.30946174645946,0.379634573196835,0.104637511969732,6.37020388103398
4:110:20,PISY,35,140,0.7,16,13,4,28.3949751027397,3.11961899652012,2.70610265058915,10.516496292954301,0.236846151878592,0.298405096796408,2.75179947884241,0.662794797859293,1.83944390092809,11.1375715226208
1:66:16,PISY,40,120,0.7,16,14,1,24.2896201777104,2.22102384797991,1.35891223851386,6.75367083036674,0.239792197271093,0.551147946639865,2.61675693643367,0.703173456244929,1.53584718536416,5.03179792851674
7:35:52,PISY,25,20,0.4,12,10,0,3.78396586095299,0.638925756603617,0.320341658249629,1.20325703343385,0.617932838258586,0.274547175765417,1.68362682709651,0.64339889875387,0.0592958212978251,1.03540552560947
4:314:4,PISY,36,100,0.7,10,10,1,20.0713775197862,2.04574505626146,1.29026413326222,5.74883045916046,0.227040069290657,0.44249759446313,1.58931765250607,0.479118455617344,1.42399474054148,6.70928460031618
4:109:15,PISY,10,15,0.5,4,3,2,2.46615405576384,1.66705924889792,1.27676796142119,1.30550444964249,0.23249758179711,0.0221506040001553,0.762140147042693,0.170219610049786,0.00558877990459422,6.26976269484896
2:207:30,PISY,40,140,0.6,18,15,1,28.2480392876332,2.68530066500302,1.61886462469965,8.02879879964336,0.341664362604309,0.598562284999297,2.81647334192189,0.81927688826951,1.08801310706882,5.32215419822788
7:60:14,PISY,40,150,0.6,20,14,1,30.265756379607,2.87710785536037,1.7344978121782,8.60228442818932,0.341664362604309,0.598562284999297,3.47406157366863,0.795665699813386,1.08801310706882,6.1812203252785
2:134:7,PISY,30,135,0.7,16,12,1,26.6008848752818,3.33689470968068,2.19760187611484,8.05470602888167,0.205801764476667,0.298432665219847,2.90549581492366,0.621783123606866,1.07603357790286,6.90403810186294
4:33:5,PISY,10,10,0.6,2,2,2,1.65058350190439,1.08213276915321,0.871295871352588,0.84623449604763,0.155544704267096,0.0208279070145964,0.369537980175838,0.0957949026956737,0.0114768462254032,7.4378210582505
5:10:5,PISY,25,120,0.8,16,10,2,23.2912136058813,3.57264122054327,2.70773813363506,8.11404660890999,0.138030151994751,0.158317297274667,3.46927791151406,0.506442210406577,0.827586833643699,9.54800388872161
7:42:6,PISY,40,170,0.75,18,16,0,34.2567801465179,3.00414781839293,1.59363052215443,8.44817997457195,0.198497693922806,0.610949763203196,2.94805143785687,0.780690418477601,1.43998875613725,4.65465769332837
6:71:18,PISY,32,46,0.45,14,8,1,9.04221139085439,1.13931463726017,0.664393453154913,2.8922018358599,0.568661495940554,0.405113929517101,2.60691326012431,0.530496971286416,0.241594549988641,4.00733967512586
