OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
1880,4:62:10,1880,239,23900,-14.904378762456973
1881,4:62:3,1881,264,26400,-14.85853660818441
1882,4:62:2,1882,67,6700,-14.681678315900301
1883,4:62:1,1883,266,26600,-14.86540644923171
1884,4:61:12,1884,876,87600,-14.911548390514808
1885,4:42:11,1885,51,5100,-15.32430382844136
1886,4:42:8,1886,112,11200,-14.901008266118478
1887,4:40:7,1887,613,61300,-14.966904814643351
1888,4:41:19,1888,289,28900,-14.70625097723939
1889,4:100:15,1889,269,26900,-15.307747167852911
1890,4:100:21,1890,131,13100,-14.66880407601613
1891,4:110:1,1891,1043,104300,-14.945676149584937
1892,4:110:4,1892,37,3700,-15.09259924475667
1893,4:110:3,1893,822,82200,-14.888580303963678
1894,4:110:5,1894,67,6700,-14.362927994051732
1895,4:110:7,1895,67,6700,-14.82244658681387
1896,4:110:8,1896,64,6400,-14.496750036274904
1897,4:110:6,1897,258,25800,-14.914018266979774
1898,4:110:10,1898,23,2300,-15.072429720883974
1899,4:110:13,1899,423,42300,-15.083486784241872
1900,4:110:14,1900,156,15600,-14.456133308099506
1901,4:110:16,1901,68,6800,-14.83273675001884
1902,4:110:15,1902,729,72900,-15.13836936768644
1903,4:110:18,1903,60,6000,-15.092502623545581
1904,4:110:20,1904,185,18500,-14.881344792024565
1905,4:110:21,1905,246,24600,-15.268389260292844
1906,4:111:6,1906,400,40000,-14.700038806158418
1907,4:111:3,1907,707,70700,-15.233931288452029
1908,4:111:7,1908,201,20100,-14.782672531667085
1909,4:111:9,1909,60,6000,-15.27120281158042
1910,4:111:8,1910,1277,127700,-14.900290866370636
1911,4:111:13,1911,171,17100,-15.749847864406957
1912,4:112:1,1912,136,13600,-16.030844101413948
1913,4:112:2,1913,357,35700,-15.117733921065525
1914,4:112:3,1914,181,18100,-14.582873090826322
1915,4:112:11,1915,448,44800,-14.40191389534381
1916,4:112:4,1916,2508,250800,-14.758347286452564
1917,4:112:12,1917,2843,284300,-14.815027742783528
1918,4:112:17,1918,168,16800,-14.799142308396277
1919,4:112:14,1919,3149,314900,-14.764647427255035
1920,4:42:5,1920,91,9100,-15.235148403287068
1921,4:100:8,1921,2372,237200,-14.767945513161592
1922,4:100:12,1922,587,58700,-14.845352207434454
1923,4:100:19,1923,2275,227500,-14.829665494252966
1924,4:155:6,1924,1050,105000,-15.017184336953939
1925,4:155:7,1925,1130,113000,-14.77858454468339
1926,4:148:2,1926,355,35500,-14.999572477855175
1927,4:148:3,1927,34,3400,-14.309532886734694
1928,4:148:11,1928,162,16200,-14.732748712699063
1929,4:148:10,1929,561,56100,-14.749495136025281
1930,4:148:18,1930,478,47800,-15.16912823851304
1931,4:148:9,1931,901,90100,-14.945466051628443
1932,4:148:8,1932,319,31900,-15.051257941412562
1933,4:148:19,1933,238,23800,-14.777044817595632
1934,4:147:6,1934,1660,166000,-14.801686734135156
1935,4:147:7,1935,301,30100,-14.636645872878514
1936,4:147:4,1936,494,49400,-14.96900064911823
1937,4:147:5,1937,79,7900,-14.910775976754877
1938,4:147:2,1938,514,51400,-15.003030985688254
1939,4:147:3,1939,294,29400,-14.529429412774405
1940,4:147:1,1940,93,9300,-14.686086223066264
1941,4:131:9,1941,52,5200,-15.161984346332016
1942,4:142:1,1942,306,30600,-14.717064368175919
1943,4:142:9,1943,131,13100,-15.544199157814353
1944,4:142:12,1944,208,20800,-14.37057042463984
1945,4:142:11,1945,285,28500,-14.777127243631718
1946,4:142:15,1946,2089,208900,-14.91370340173319
1947,4:142:13,1947,270,27000,-14.762373340148072
1948,4:142:14,1948,456,45600,-15.134986459502784
1949,4:142:3,1949,190,19000,-14.695151790324275
1950,4:131:7,1950,387,38700,-14.97057522804298
1951,4:131:17,1951,105,10500,-14.929454097816237
1952,4:131:16,1952,93,9300,-15.009775669321007
1953,4:131:18,1953,15,1500,-15.301279714799485
1954,4:131:5,1954,1514,151400,-14.885388256449858
1955,4:131:12,1955,1305,130500,-14.928481144253473
1956,4:131:6,1956,209,20900,-15.332408390074626
1957,4:117:14,1957,342,34200,-14.968356434039737
1958,4:117:7,1958,103,10300,-15.026764178316663
