OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
837,2:122:51,837,288,28800,-9.592006262776646
838,2:122:38,838,405,40500,-5.842651414394999
839,2:97:21,839,295,29500,0.518827015727071
840,2:97:22,840,380,38000,-3.352864606238064
841,2:97:11,841,226,22600,-2.122593745426493
842,2:97:27,842,57,5700,-2.055442665953147
843,2:97:12,843,163,16300,-6.85541037399685
844,2:97:18,844,313,31300,-3.379245804838338
845,2:97:23,845,349,34900,-2.800940134565013
846,2:97:28,846,388,38800,-1.719588750617163
847,2:97:20,847,1261,126100,-1.607347569355137
848,2:97:14,848,193,19300,-0.345870281063146
849,2:97:15,849,214,21400,2.212616983203066
850,2:97:26,850,710,71000,-2.035828097413676
851,2:97:9,851,113,11300,0.575694068549592
852,2:97:33,852,33,3300,-2.320251409465978
853,2:96:3,853,160,16000,-0.293974789229101
854,2:96:26,854,979,97900,-0.813613096955516
855,2:96:23,855,299,29900,-2.105547765288621
856,2:96:20,856,2296,229600,-1.093192128766822
857,2:95:28,857,163,16300,-2.466659343254123
858,2:95:34,858,207,20700,1.291863694610354
859,2:95:8,859,312,31200,0.192842769464406
860,2:95:6,860,32,3200,4.211922888460895
861,2:121:1,861,498,49800,-2.421717923145285
862,2:121:9,862,103,10300,-5.59298314615088
863,2:121:28,863,75,7500,-5.337928970589383
864,2:150:10,864,1034,103400,-3.647638372817038
865,2:150:16,865,294,29400,-5.97599248604965
866,2:150:5,866,632,63200,-3.946304451940983
867,2:150:17,867,879,87900,-2.674195311657957
868,2:150:19,868,511,51100,-7.988646566305844
869,2:150:13,869,220,22000,-7.499633345172826
870,2:150:3,870,467,46700,-3.731728716436348
871,2:150:6,871,96,9600,-6.355851159541428
872,2:150:26,872,506,50600,-9.585173423557816
873,2:150:28,873,243,24300,-7.967201410060398
874,2:150:29,874,62,6200,-8.126135142218697
875,2:150:23,875,130,13000,-5.882568977547933
876,2:150:24,876,182,18200,-3.599229544144968
877,2:150:20,877,193,19300,-8.913562658714905
878,2:150:31,878,499,49900,-10.899387868425366
879,2:150:22,879,104,10400,-7.309417616936836
880,2:150:27,880,308,30800,-5.869162055233986
881,2:150:14,881,150,15000,-8.791808432365865
882,2:150:25,882,103,10300,-5.614688761905187
883,2:150:18,883,197,19700,-10.676837146038425
884,2:150:32,884,105,10500,-4.419198137417574
885,2:150:8,885,83,8300,-12.62783351510977
886,2:150:30,886,318,31800,-8.08184245516538
887,2:150:7,887,77,7700,-7.759099541379784
888,2:150:15,888,122,12200,-11.704504410754454
889,2:150:9,889,185,18500,-10.301056333903293
890,2:150:11,890,732,73200,-6.398837911958429
891,2:202:27,891,44,4400,-10.146258483403933
892,2:202:10,892,283,28300,-8.475175329481772
893,2:202:26,893,231,23100,-2.84287972305548
894,2:202:34,894,67,6700,-13.064062142101074
895,2:202:28,895,44,4400,-16.167430788819242
896,2:202:9,896,284,28400,-13.783173375936814
897,2:202:23,897,427,42700,-11.896955553614374
898,2:202:25,898,156,15600,-4.101246494128441
899,2:202:24,899,239,23900,-8.991112894589245
900,2:202:16,900,852,85200,-2.681364995727061
901,2:202:8,901,903,90300,-5.500542020868797
902,2:202:6,902,75,7500,0.575044325491948
