OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
2326,4:67:4,2326,168,16800,-10.535842375787599
2327,4:67:5,2327,301,30100,-10.580284102270552
2328,4:67:7,2328,927,92700,-10.559785189146039
2329,4:68:2,2329,32,3200,-9.78851256334789
2330,4:82:3,2330,172,17200,-10.632435819126982
2331,4:82:5,2331,74,7400,-10.519103424911249
2332,4:82:4,2332,623,62300,-10.495719450779486
2333,4:101:1,2333,64,6400,-10.536965035183993
2334,4:101:5,2334,195,19500,-10.979129032090484
2335,4:101:7,2335,923,92300,-10.70095319201159
2336,4:101:3,2336,142,14200,-10.429583269998288
2337,4:102:3,2337,334,33400,-10.46460612393211
2338,4:103:3,2338,102,10200,-11.02862523963421
2339,4:103:12,2339,355,35500,-10.274991401622719
2340,4:103:13,2340,932,93200,-10.396833882218516
2341,4:103:16,2341,671,67100,-10.496659453068407
2342,4:103:15,2342,1474,147400,-10.266027336889277
2343,4:103:11,2343,956,95600,-10.534381804209945
2344,4:113:5,2344,275,27500,-9.78140252128024
2345,4:113:2,2345,162,16200,-10.088015215639095
2346,4:113:3,2346,191,19100,-10.324025952234495
2347,4:113:7,2347,67,6700,-10.542224583110867
2348,4:113:9,2348,75,7500,-10.113383164807582
2349,4:113:8,2349,211,21100,-10.014201372816135
2350,4:113:10,2350,1041,104100,-10.543154430506664
2351,4:113:11,2351,1276,127600,-10.133237252330687
2352,4:125:7,2352,101,10100,-10.619903310209526
2353,4:125:2,2353,283,28300,-10.325752933409046
2354,4:125:3,2354,41,4100,-10.16046737429855
2355,4:125:4,2355,22,2200,-10.460496629055793
2356,4:125:5,2356,34,3400,-10.516045023197318
2357,4:124:1,2357,150,15000,-10.348097053350303
2358,4:124:3,2358,159,15900,-10.011300367159095
2359,4:124:4,2359,35,3500,-10.324003091878577
2360,4:124:15,2360,482,48200,-10.470583448865717
2361,4:124:14,2361,217,21700,-10.649280060135094
2362,4:124:5,2362,388,38800,-10.582507058635958
2363,4:124:6,2363,374,37400,-10.314670871941836
2364,4:124:22,2364,2419,241900,-10.664070294254394
2365,4:124:19,2365,183,18300,-10.348933942045608
